Identificador;Item;Fecha;Estado;NCM-SIM;Exportador;Localidad;Tipo de Dato;Fecha Cumplido;Fecha Cargado;Destinación;Aduana;Via Transporte;País de Destino;Aduana de Destino;U$S Unitario;U$S FOB;Flete U$S;Seguro;Cantidad;Unidad;Kgs. Netos;Item;Marca - Sufijos;Cantidad;Unitario Divisa;FOB Divisa;Moneda Divisa;Condición de Venta;Marca o Descripcion;Descripcion Arancelaria
22001EC01066484M;1;44812;OFIC;0713.39.90.990N;SWISS AGRO EXPORT  SA;SALTA;DEFINITIVO;08/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);1218.91;28034.93;4625.07;0;23;TONELADA;23000;0;MARCA: SWISS AGRO EXPORT SA;23;1218.91;28034.93;DOLAR USA;CFR;AA(SWISS AGRO EXPORT SA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22001EC01066492L;1;44812;OFIC;0713.39.90.990N;SWISS AGRO EXPORT  SA;SALTA;DEFINITIVO;08/09/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);661.96;3706.98;851.37;0;5.6;TONELADA;5600;0;MARCA: SWISS AGRO EXPORT SA;5.6;661.96;3706.98;DOLAR USA;CFR;AA(SWISS AGRO EXPORT SA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22082EC01002290G;1;44813;OFIC;0713.39.90.990N;LEJUY SRL;JUJUY;DEFINITIVO;09/09/2022;No disponible;CONSUMO;BERNARDO DE YRIGOYEN;CAMION;Brasil;BERNARDO DE YRIGOYEN;715;15193.75;0;0;21.25;TONELADA;21250;0;MARCA: S/M;21.25;715;15193.75;DOLAR USA;FCA;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22053EC01001705E;1;44839;AUTO;0713.39.90.990N;JEWELL ESPECIALIDADES SA;SANTA FE;DEFINITIVO;05/10/2022;No disponible;CONSUMO;SALTA;CAMION;Colombia;SALTA;890;22250;0;0;25;TONELADA;25000;0;MARCA: JEWELL;25;890;22250;DOLAR USA;FCA;AA(JEWELL)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22053EC01001741E;1;44847;AUTO;0713.39.90.990N;ALIMENTOS DE ARGENTINA S A ALIMAR;LAS PAMPITAS-JU;DEFINITIVO;13/10/2022;No disponible;CONSUMO;SALTA;CAMION;Turquía;SALTA;1010.68;25267;3483;0;25;TONELADA;25000;0;MARCA: SIN MARCA;25;1010.68;25267;DOLAR USA;CFR;AA(SIN MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22053EC01001809J;1;44859;AUTO;0713.39.90.990N;JEWELL ESPECIALIDADES SA;SANTA FE;DEFINITIVO;25/10/2022;No disponible;CONSUMO;SALTA;CAMION;Colombia;SALTA;800;2400;0;0;3;TONELADA;3000;0;MARCA: SIN MARCA;3;800;2400;DOLAR USA;FCA;AA(SIN MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22001EC01079770Y;1;44867;OFIC;0713.39.90.990N;SWISS AGRO EXPORT  SA;SALTA;DEFINITIVO;02/11/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Turquía;BS.AS. (CAPITAL);1109.92;76584.48;11400.18;0;69;TONELADA;69000;0;MARCA: SWISS AGRO EXPORT SA;69;1109.92;76584.48;DOLAR USA;CFR;AA(SWISS AGRO EXPORT SA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22001EC01080512A;1;44869;OFIC;0713.39.90.990N;SWISS AGRO EXPORT  SA;SALTA;DEFINITIVO;04/11/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Turquía;BS.AS. (CAPITAL);1352.17;31099.91;4550.09;0;23;TONELADA;23000;0;MARCA: SWISS AGRO EXPORT SA;23;1352.17;31099.91;DOLAR USA;CFR;AA(SWISS AGRO EXPORT SA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
22001EC01091946N;2;44921;OFIC;0713.39.90.990N;SWISS AGRO EXPORT  SA;SALTA;DEFINITIVO;26/12/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Italia;BS.AS. (CAPITAL);711.11;10751.91;1079.88;0;15.12;TONELADA;15125;0;MARCA: SWISS AGRO EXPORT SA;15.12;711.11;10751.91;DOLAR USA;CFR;AA(SWISS AGRO EXPORT SA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS PHASEOLUS OTROS
21001EC01092254F;1;44564;PRES;0713.33.99.129N;ALIMENTOS Y FORRAJES  S.A.;CAPITAL FEDERAL;DEFINITIVO;03/01/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Israel;BS.AS. (CAPITAL);780;19172.4;0;0;24.58;TONELADA;24580;0;MARCA: ALIMENTOS Y FORRAJES;24.58;780;19172.4;DOLAR USA;FOB;AA(ALIMENTOS Y FORRAJES)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
21001EC01097913M;1;44564;PRES;0713.33.99.129N;MOLINOS MARIMBO S A I C;LA CARLOTA;DEFINITIVO;03/01/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;India;BS.AS. (CAPITAL);280;15624;0;0;55.8;TONELADA;55800;0;MARCA: S/MARCAS;55.8;280;15624;DOLAR USA;FOB;AA(S/MARCAS)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
22001EC01000100X;1;44564;OFIC;0713.33.99.122Y;CAS EXPORTACIONES SRL;TUCUMAN;DEFINITIVO;03/01/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Pakistán;BS.AS. (CAPITAL);708.75;68040;21240;0;96;TONELADA;96000;0;MARCA: SM;96;708.75;68040;DOLAR USA;CFR;AA(SM)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
22001EC01000251P;1;44564;OFIC;0713.33.99.122Y;AGROLIT;CIUDAD AUTONOMA;DEFINITIVO;03/01/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;España;BS.AS. (CAPITAL);900;43200;0;0;48;TONELADA;48000;0;MARCA: S/MARCA;48;900;43200;DOLAR USA;FOB;AA(S/MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
22008EC01000014T;1;44564;OFIC;0713.33.99.112V;GERALA MARIO ERNESTO;SALTA;DEFINITIVO;03/01/2022;No disponible;CONSUMO;CAMPANA;ACUATICA;Portugal;CAMPANA;1189.67;57104;7120;0;48;TONELADA;48000;0;MARCA: S/MARCA;48;1189.67;57104;DOLAR USA;CFR;AA(S/MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
22008EC01000015U;1;44564;OFIC;0713.33.99.929G;GERALA MARIO ERNESTO;SALTA;DEFINITIVO;03/01/2022;No disponible;CONSUMO;CAMPANA;ACUATICA;Portugal;CAMPANA;1279.67;30712;3560;0;24;TONELADA;24000;0;MARCA: S/MARCA;24;1279.67;30712;DOLAR USA;CFR;AA(S/MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
22008EC01000056C;1;44564;AUTO;0713.33.99.112V;DESDELSUR S A;CAPITAL FEDERAL;DEFINITIVO;03/01/2022;No disponible;CONSUMO;CAMPANA;ACUATICA;Pakistán;CAMPANA;657.39;75600;31350;0;115;TONELADA;115000;0;MARCA: S/M;115;657.39;75600;DOLAR USA;CFR;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
22052EC01000016U;1;44564;OFIC;0713.33.99.122Y;AGRONEGOCIOS JEWELL S.R.L.;CORDOBA;DEFINITIVO;03/01/2022;No disponible;CONSUMO;ROSARIO;CAMION;Colombia;ROSARIO;1080;108000;0;0;100;TONELADA;100000;0;MARCA: S/MARCA;100;1080;108000;DOLAR USA;FCA;AA(S/MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
22052EC01000020P;1;44564;OFIC;0713.33.99.112V;AGRONEGOCIOS JEWELL S.R.L.;CORDOBA;DEFINITIVO;03/01/2022;No disponible;CONSUMO;ROSARIO;CAMION;Colombia;ROSARIO;980;29400;0;0;30;TONELADA;30000;0;MARCA: S/MARCA;30;980;29400;DOLAR USA;FCA;AA(S/MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
22052EC01000021Z;1;44564;OFIC;0713.33.99.112V;AGRONEGOCIOS JEWELL S.R.L.;CORDOBA;DEFINITIVO;03/01/2022;No disponible;CONSUMO;ROSARIO;CAMION;Colombia;ROSARIO;980;23520;0;0;24;TONELADA;24000;0;MARCA: S/MARCA;24;980;23520;DOLAR USA;FCA;AA(S/MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
22052EC01000022R;1;44564;OFIC;0713.33.99.112V;AGRONEGOCIOS JEWELL S.R.L.;CORDOBA;DEFINITIVO;03/01/2022;No disponible;CONSUMO;ROSARIO;CAMION;Colombia;ROSARIO;980;980;0;0;1;TONELADA;1000;0;MARCA: S/MARCA;1;980;980;DOLAR USA;FCA;AA(S/MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
22052EC01000024T;1;44564;OFIC;0713.33.99.112V;AGRONEGOCIOS JEWELL S.R.L.;CORDOBA;DEFINITIVO;03/01/2022;No disponible;CONSUMO;ROSARIO;CAMION;Colombia;ROSARIO;980;42140;0;0;43;TONELADA;43000;0;MARCA: S/MARCA;43;980;42140;DOLAR USA;FCA;AA(S/MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
22052EC01000025U;1;44564;OFIC;0713.33.99.112V;AGRONEGOCIOS JEWELL S.R.L.;CORDOBA;DEFINITIVO;03/01/2022;No disponible;CONSUMO;ROSARIO;CAMION;Colombia;ROSARIO;980;26460;0;0;27;TONELADA;27000;0;MARCA: S/MARCA;27;980;26460;DOLAR USA;FCA;AA(S/MARCA)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
21052EC01012404A;1;44565;PRES;0713.33.99.122Y;AGRONEGOCIOS JEWELL S.R.L.;CORDOBA;DEFINITIVO;04/01/2022;No disponible;CONSUMO;ROSARIO;CAMION;Colombia;ROSARIO;1080;4590;0;0;4.25;TONELADA;4250;0;MARCA: JEWELL;4.25;1080;4590;DOLAR USA;FCA;AA(JEWELL)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
21052EC01012405B;1;44565;PRES;0713.33.99.112V;AGRONEGOCIOS JEWELL S.R.L.;CORDOBA;DEFINITIVO;04/01/2022;No disponible;CONSUMO;ROSARIO;CAMION;Colombia;ROSARIO;980;11956;0;0;12.2;TONELADA;12200;0;MARCA: JEWELL;12.2;980;11956;DOLAR USA;FCA;AA(JEWELL)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
21052EC01012407D;1;44565;PRES;0713.33.99.112V;AGRONEGOCIOS JEWELL S.R.L.;CORDOBA;DEFINITIVO;04/01/2022;No disponible;CONSUMO;ROSARIO;CAMION;Colombia;ROSARIO;980;8036;0;0;8.2;TONELADA;8200;0;MARCA: JEWELL;8.2;980;8036;DOLAR USA;FCA;AA(JEWELL)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
22001EC01000351Z;1;44565;AUTO;0713.33.99.122Y;PRIMORE SRL;CAPITAL FEDERAL;DEFINITIVO;04/01/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Israel;BS.AS. (CAPITAL);964.58;23150;6850;0;24;TONELADA;24000;0;MARCA: S/M;24;964.58;23150;DOLAR USA;CFR;AA(S/M)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
22001EC01000495C;1;44565;PRES;0713.33.99.122Y;MADERAS GEA SAS;CIUDAD AUTONOMA;DEFINITIVO;04/01/2022;No disponible;CONSUMO;BS.AS. (CAPITAL);ACUATICA;Pakistán;BS.AS. (CAPITAL);998.75;95880;21240;0;96;TONELADA;96000;0;MARCA: SM;96;998.75;95880;DOLAR USA;CFR;AA(SM)-PB00-;HORTALIZAS DE VAINA SECAS DESVAINADAS POROTOS COMUNES OTROS
